 V , mA , tC , %rh , kPa , PM25 
13.92,104.5,-9.75,59.9,93.84,2.0
13.93,140.3,-9.75,59.63,93.84,1.0
13.93,117.4,-9.69,59.1,93.84,2.0
13.25,118.0,-8.88,47.21,93.72,3.0
13.31,101.8,-8.88,47.16,93.73,2.0
13.97,111.1,-9.06,46.15,93.74,1.0
12.77,109.6,-9.25,47.39,93.78,1.0
12.72,123.2,-9.25,47.61,93.76,2.0
15:14,12.66,122.7,-9.31,47.09,93.75,1.0
15:17,12.63,132.4,-9.38,47.35,93.74,3.0
15:30,12.6,137.1,-9.56,48.77,93.74,3.0
16:00,12.55,127.1,-9.88,50.65,93.75,10.0
16:30,12.5,105.1,-10.0,52.28,93.74,21.0
17:00,12.47,116.8,-9.94,53.76,93.73,21.0
17:18,12.44,127.8,-9.94,54.12,93.73,12.0
17:30,12.42,122.3,-9.94,54.12,93.72,8.0
18:00,12.38,129.0,-9.81,54.88,93.68,11.0
18:30,12.34,119.0,-9.69,54.58,93.66,5.0
18:58,12.32,128.4,-9.75,54.38,93.61,4.0
19:00,12.33,110.5,-9.75,54.53,93.61,3.0
19:30,12.29,147.0,-9.75,54.64,93.62,3.0
20:00,12.3,116.1,-9.81,54.58,93.59,3.0
20:30,12.27,148.2,-9.75,56.26,93.56,4.0
21:00,12.29,115.7,-9.75,55.28,93.48,4.0
21:30,12.25,137.6,-9.81,56.39,93.47,5.0
22:00,12.26,129.8,-9.81,57.49,93.44,5.0
22:30,12.24,131.0,-9.94,57.08,93.44,8.0
23:00,12.21,130.7,-10.12,56.41,93.38,3.0
23:30,12.23,117.5,-10.31,56.14,93.36,3.0
